#Please wait 3[s]#Please wait 2[s]#Please wait 1[s]#Please wait 0[s]
44.183880  7.000000 -8.722819 25.944448  0.109427  0.025114  5.000000 -4.956512  0.000000
44.291504  7.000000 -8.480264 29.615002  0.109673  0.019873  5.000000 -4.996782  0.000000
44.376705  7.000000 -15.264749 35.125740  0.114380  0.012002  6.000000 -5.917033  0.000000
44.421928  8.000000 -6.109500 41.606640  0.114381  0.011627  6.000000 -5.993051  0.000000
44.463898  8.000000 -6.686748 34.852596  0.113708  0.021273  6.000000 -5.999262  0.000000
44.506767 11.000000  6.278406 43.633965  0.114825  0.035366  6.000000 -5.998247  0.000000
44.593887 15.000000 -21.797407 55.375008  0.113027  0.054088  6.000000 -6.000461  0.000000
44.701527 13.000000 -19.727562 49.914452  0.118669  0.044147  6.000000 -6.000324  0.000000
44.786690 12.000000 -44.292934 36.898735  0.115303  0.053834  5.000000 -5.086178  0.000000
44.829144 13.000000 -2.276702 33.593491  0.111162  0.067389  4.000000 -4.089970  0.000000
44.871586 14.000000 -5.789868 26.496998  0.112061  0.086297  4.000000 -4.007094  0.000000
44.956745 13.000000 11.651278 18.498325  0.110980  0.088821  5.000000 -4.914798  0.000000
45.041481  7.000000 -14.692432 -2.803137  0.104483  0.066091  6.000000 -5.909896  0.000000
45.086735  3.000000 -11.227394 -22.702011  0.105253  0.059012  6.000000 -5.993304  0.000000
45.129559  1.000000 -35.766090 -31.997513  0.104152  0.054540  6.000000 -6.002529  0.000000
45.171616 -2.000000 18.947399 -47.193924  0.103566  0.049613  7.000000 -6.914802  0.000000
45.236729 -6.000000 14.438646 -66.133591  0.101597  0.041154  7.000000 -6.992293  0.000000
45.301502 -11.000000 21.030668 -87.662697  0.099510  0.027510  7.000000 -6.998643  0.000000
45.366711 -15.000000 11.845406 -105.328506  0.100026  0.017219  8.000000 -7.916476  0.000000
45.473881 -19.000000 14.383775 -135.463776  0.101153  0.024734  8.000000 -7.993192  0.000000
45.559078 -19.000000  5.695790 -149.559296  0.110691  0.044845  7.000000 -7.084639  0.000000
45.623878 -19.000000 26.587595 -148.823898  0.110486  0.043796  8.000000 -7.922797  0.000000
45.709057 -25.000000 25.968031 -167.944351  0.111316  0.017838  9.000000 -8.909585  0.000000
45.774326 -30.000000 19.598446 -181.705154  0.111234 -0.006918  9.000000 -8.993327  0.000000
45.859272 -33.000000 41.713455 -196.864029  0.118049 -0.011911  9.000000 -8.998832  0.000000
45.923897 -33.000000 38.165951 -209.405380  0.115329  0.006004  9.000000 -8.999805  0.000000
46.031528 -30.000000 50.508461 -204.422958  0.111472  0.025531 10.000000 -9.914627  0.000000
46.117134 -28.000000 12.196194 -196.233612  0.112805  0.031593 10.000000 -9.993970  0.000000
46.181568 -25.000000 17.835855 -184.758438  0.111778  0.041836 10.000000 -9.999667  0.000000
46.266785 -22.000000 12.114236 -176.295181  0.113120  0.056360  9.000000 -9.084786  0.000000
46.331528 -19.000000 24.487455 -164.608261  0.123733  0.066276  9.000000 -9.006681  0.000000
46.439583 -13.000000 19.169941 -136.809769  0.127656  0.079791  8.000000 -8.083624  0.000000
46.523880 -9.000000 31.659216 -124.032326  0.131146  0.096935  8.000000 -8.005196  0.000000
46.631542 -3.000000 -21.010139 -101.208824  0.139222  0.117392 10.000000 -9.834599  0.000000
46.736759  5.000000 -13.386926 -63.331211  0.136007  0.134080  7.000000 -7.238269  0.000000
46.846737 12.000000 -15.653487 -31.689434  0.133946  0.150718  6.000000 -6.104012  0.000000
46.931648 15.000000 -14.097906 -13.860329  0.138459  0.151871  5.000000 -5.092325  0.000000
46.996704 18.000000 -16.204784  1.576457  0.140633  0.156359  5.000000 -5.007515  0.000000
47.101536 24.000000 -8.562858 25.411364  0.143035  0.175084  4.000000 -4.083560  0.000000
47.189137 28.000000 -46.768234 46.449959  0.148409  0.180390  5.000000 -4.924688  0.000000
47.231560 29.000000 -37.649422 56.785130  0.148601  0.174693  5.000000 -4.994178  0.000000
47.296745 30.000000 -46.093811 68.342567  0.149549  0.167286  4.000000 -4.084320  0.000000
47.339088 31.000000 -14.488247 74.863846  0.146498  0.166865  4.000000 -4.005280  0.000000
47.403881 32.000000 -24.046690 68.537178  0.141073  0.184239  8.000000 -7.663899  0.000000
47.509552 43.000000 -7.196037 107.698700  0.131306  0.224285  2.000000 -2.472206  0.000000
47.596642 44.000000 -84.700798 111.184387  0.126481  0.227992  6.000000 -5.707538  0.000000
47.661480 43.000000 -61.752258 123.485611  0.131576  0.202746  8.000000 -7.808996  0.000000
47.766743 39.000000 -83.079338 122.552208  0.133492  0.169722  9.000000 -8.903310  0.000000
47.853870 40.000000 12.044545 127.485146  0.124531  0.171505  6.000000 -6.238931  0.000000
47.896713 39.000000 -16.959105 116.341354  0.121653  0.178329  9.000000 -8.766674  0.000000
47.961479 43.000000  4.357834 142.884033  0.121731  0.176018  2.000000 -2.564144  0.000000
48.069038 35.000000 -83.482452 116.521355  0.122996  0.143461  7.000000 -6.632009  0.000000
48.154320 31.000000 -53.111671 104.560204  0.128813  0.125347  6.000000 -6.054877  0.000000
48.219193 27.000000 -75.067345 95.906456  0.133724  0.102477  4.000000 -4.176640  0.000000
48.326729 14.000000 65.690025 55.656120  0.139810  0.044826  5.000000 -4.924311  0.000000
48.431496  4.000000 24.781860 13.780596  0.136229  0.015845  5.000000 -4.991957  0.000000
48.517216  1.000000 45.359322 -5.617982  0.130909  0.016907  6.000000 -5.912159  0.000000
48.561562 -1.000000 -58.682682 -15.730579  0.127332  0.013588  7.000000 -6.914093  0.000000
48.669056 -9.000000 -17.951345 -47.014767  0.122362 -0.012784  8.000000 -7.910393  0.000000
48.711479 -14.000000 -42.295341 -62.083946  0.116670 -0.035659  8.000000 -7.996875  0.000000
48.776730 -21.000000 108.791519 -85.438095  0.118485 -0.064404  8.000000 -7.992587  0.000000
48.841583 -29.000000 60.705700 -113.848389  0.116592 -0.094689  8.000000 -7.997772  0.000000
48.926750 -35.000000 80.769524 -138.183685  0.114302 -0.113024  9.000000 -8.912512  0.000000
49.033897 -37.000000 -25.926891 -170.399948  0.105887 -0.085045  9.000000 -8.998289  0.000000
49.141960 -35.000000 11.706845 -178.665436  0.094856 -0.055619 10.000000 -9.917587  0.000000
49.249249 -38.000000 -7.024336 -192.173676  0.093468 -0.062945 10.000000 -9.996521  0.000000
49.336727 -44.000000 117.859123 -210.409241  0.092314 -0.090033 10.000000 -9.993334  0.000000
49.399048 -47.000000 74.333252 -226.794388  0.091219 -0.093248  9.000000 -9.081730  0.000000
49.484303 -47.000000 95.009369 -237.789413  0.083955 -0.077655  9.000000 -9.003168  0.000000
49.549137 -45.000000 -29.899120 -231.650284  0.080396 -0.068707  9.000000 -9.006515  0.000000
49.633881 -46.000000 17.750877 -234.428497  0.080001 -0.073597  9.000000 -9.002617  0.000000
